NAME : Antwerp1
COMMENT : 
TYPE : CVRP
DIMENSION : 6001
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 30
NODE_COORD_SECTION
1 1000 1000
2 602 870
3 1340 1088
4 756 932
5 305 1010
6 1310 1137
7 911 1076
8 1388 831
9 1519 712
10 282 1497
11 1150 1092
12 1746 1939
13 790 860
14 1999 229
15 755 1164
16 1406 1096
17 316 1400
18 1344 1028
19 786 450
20 674 429
21 413 866
22 469 839
23 1942 223
24 1880 922
25 529 859
26 230 1172
27 1326 454
28 71 793
29 971 1145
30 1149 356
31 1045 1747
32 1151 1737
33 989 1442
34 945 983
35 1090 1571
36 1920 1479
37 571 514
38 793 988
39 758 952
40 1755 1999
41 797 1658
42 745 716
43 352 651
44 1296 453
45 1001 904
46 484 1530
47 19 1105
48 573 877
49 800 998
50 1943 204
51 574 661
52 833 485
53 620 503
54 649 1457
55 156 1165
56 1112 646
57 1396 885
58 442 869
59 671 346
60 710 1662
61 1373 1616
62 608 743
63 1067 257
64 703 1414
65 367 1356
66 1493 648
67 895 909
68 366 1524
69 1340 1559
70 1038 1504
71 308 1465
72 1429 1569
73 130 1759
74 1680 1951
75 1643 623
76 1541 1125
77 1296 1474
78 979 63
79 629 1558
80 1775 1655
81 1118 188
82 1822 1440
83 698 1662
84 1336 623
85 1208 964
86 1442 248
87 812 1031
88 1907 1568
89 1685 525
90 913 737
91 588 660
92 906 1689
93 352 1365
94 366 1807
95 1250 1480
96 1874 189
97 1938 1429
98 777 452
99 1871 1899
100 474 1243
101 651 1530
102 79 1150
103 745 496
104 1130 520
105 687 828
106 348 1038
107 848 1311
108 467 720
109 1248 1547
110 501 722
111 631 787
112 1993 1872
113 528 755
114 682 177
115 98 1216
116 984 1552
117 795 679
118 558 789
119 420 1226
120 1015 1054
121 1447 1694
122 990 1278
123 336 1380
124 983 1383
125 970 629
126 731 263
127 1481 917
128 1886 1003
129 53 1161
130 1992 613
131 207 1198
132 293 1905
133 122 1226
134 727 239
135 834 1098
136 1663 1931
137 1525 606
138 1203 1671
139 1389 1203
140 1360 19
141 834 1745
142 1573 1370
143 575 756
144 1719 600
145 700 1639
146 1341 437
147 1732 800
148 704 1622
149 1721 547
150 735 1252
151 724 377
152 619 1421
153 1172 484
154 258 1101
155 721 1324
156 911 1721
157 1241 1238
158 1165 448
159 502 318
160 624 480
161 1027 856
162 801 1385
163 1158 825
164 348 966
165 843 1666
166 773 1229
167 921 1198
168 1617 383
169 1391 763
170 1590 300
171 1578 474
172 502 1415
173 1631 732
174 1121 442
175 220 924
176 154 1135
177 918 34
178 1332 628
179 1080 1301
180 1141 1121
181 1654 930
182 1041 1605
183 201 1337
184 1139 939
185 1787 1670
186 347 1825
187 1390 648
188 609 540
189 831 1314
190 1383 720
191 211 1180
192 1332 1616
193 538 624
194 1534 1153
195 1751 1460
196 835 1271
197 1585 485
198 787 722
199 1337 1097
200 1967 1757
201 220 901
202 1447 836
203 125 1285
204 1272 1119
205 1215 1411
206 1475 1144
207 331 1253
208 809 1401
209 1580 1288
210 405 939
211 439 1516
212 1567 1077
213 1988 1660
214 73 1111
215 957 1380
