NAME : Brussels2
COMMENT : 
TYPE : CVRP
DIMENSION : 16001
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 150
NODE_COORD_SECTION
1 500 700
2 1347 938
3 1363 615
4 1185 1307
5 1036 758
6 724 785
7 1072 998
8 833 1155
9 325 1076
10 1023 912
11 881 1130
12 990 1134
13 1020 1139
14 1335 865
15 394 1307
16 552 1330
17 725 1001
18 1088 1284
19 1034 1185
20 1710 868
21 1061 912
22 939 1233
23 1735 1054
24 1438 836
25 309 1297
26 1061 937
27 856 727
28 1402 737
29 907 871
30 1493 1254
31 1365 1191
32 1157 1705
33 633 531
34 1595 1355
35 1640 1062
36 975 1151
37 1638 789
38 958 745
39 1138 1001
40 1054 978
41 867 1688
42 1324 1283
43 989 1446
44 654 319
45 927 1055
46 1060 952
47 752 1096
48 1221 945
49 1553 835
50 1237 819
51 1294 807
52 746 1599
53 1014 961
54 1073 1051
55 1040 752
56 1088 997
57 1011 908
58 1074 925
59 1134 1083
60 854 1062
61 323 687
62 735 378
63 682 1061
64 1338 1313
65 749 1318
66 1149 1069
67 1001 1090
68 1204 995
69 1387 1337
70 1374 373
71 1646 813
72 649 567
73 615 1294
74 1001 887
75 1551 816
76 1094 1117
77 808 1378
78 879 866
79 1145 597
80 1362 1157
81 961 1237
82 460 1174
83 380 1238
84 980 1324
85 1639 1119
86 1077 271
87 1134 1037
88 472 1170
89 942 712
90 1752 1299
91 1228 1061
92 1174 1161
93 1391 1107
94 945 718
95 816 641
96 742 1059
97 1232 1055
98 1217 1038
99 497 890
100 1378 1217
101 1064 1151
102 1048 200
103 486 481
104 1250 554
105 773 311
106 1159 1247
107 612 721
108 1035 946
109 805 973
110 998 1255
111 1188 903
112 648 294
113 439 1094
114 919 846
115 1289 855
116 106 1311
117 1492 976
118 1137 1162
119 1011 1452
120 1461 1084
121 935 175
122 770 1731
123 1539 1043
124 981 855
125 937 949
126 1551 774
127 1096 228
128 799 1179
129 816 789
130 1242 1520
131 1395 1055
132 1801 1198
133 723 1185
134 1103 1062
135 478 567
136 897 1193
137 1029 676
138 1171 1111
139 959 1268
140 716 454
141 955 1135
142 1092 1099
143 1048 1243
144 888 1228
145 1387 939
146 1467 1475
147 1182 1287
148 1660 1180
149 1149 676
150 1042 956
151 1041 1201
152 988 1237
153 1759 1130
154 1118 967
155 764 1186
156 762 1345
157 835 712
158 409 633
159 951 1210
160 1317 1304
161 893 1263
162 308 568
163 1477 974
164 668 1723
165 989 1000
166 1416 1608
167 1569 1444
168 1836 850
169 658 1447
170 1067 947
171 1218 790
172 1897 818
173 891 594
174 617 614
175 1344 1285
176 918 1271
177 1616 1449
178 1042 252
179 788 916
180 923 707
181 1010 921
182 780 1342
183 1474 1053
184 738 1493
185 717 1183
186 1097 924
187 1386 825
188 1175 1908
189 1004 880
190 994 1166
191 918 1162
192 1188 1353
193 914 1213
194 1234 1033
195 1340 1343
196 968 1782
197 860 964
198 1111 1296
199 636 902
200 618 1610
201 1115 1298
202 1542 1047
203 957 646
204 1558 944
205 1146 1110
206 1101 1353
207 451 436
208 609 1078
209 1345 747
210 1669 1416
211 1399 1372
