NAME : X-n524-k153
COMMENT : "Generated by Uchoa, Pecin, Pessoa, Poggi, Subramanian, and Vidal (2013)"
TYPE : CVRP
DIMENSION : 524
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 125
NODE_COORD_SECTION
1 691 729
2 978 828
3 427 367
4 777 543
5 190 596
6 773 750
7 234 727
8 851 358
9 140 69
10 891 285
11 467 13
12 537 162
13 636 355
14 213 284
15 75 877
16 384 814
17 606 173
18 76 236
19 86 733
20 642 61
21 303 261
22 771 775
23 107 264
24 763 43
25 811 873
26 38 170
27 822 920
28 907 792
29 539 273
30 576 836
31 491 411
32 430 725
33 727 248
34 532 825
35 457 218
36 398 153
37 942 597
38 8 330
39 637 85
40 75 781
41 578 635
42 560 188
43 27 523
44 432 198
45 359 691
46 695 372
47 203 307
48 641 389
49 836 612
50 375 499
51 818 980
52 577 226
53 889 259
54 516 324
55 102 346
56 318 976
57 223 11
58 484 245
59 365 982
60 648 790
61 878 261
62 600 800
63 493 722
64 549 214
65 714 918
66 638 166
67 452 172
68 711 687
69 924 905
70 326 662
71 786 203
72 24 32
73 529 661
74 843 248
75 115 449
76 82 971
77 876 644
78 322 24
79 642 810
80 685 607
81 141 824
82 351 732
83 641 954
84 330 941
85 830 188
86 469 250
87 970 812
88 723 360
89 274 238
90 668 103
91 562 82
92 269 147
93 135 493
94 895 953
95 930 729
96 579 972
97 901 987
98 546 102
99 664 479
100 967 393
101 388 767
102 977 995
103 933 329
104 947 364
105 242 400
106 991 716
107 983 38
108 738 728
109 436 466
110 346 490
111 639 634
112 765 715
113 772 60
114 254 183
115 804 906
116 150 451
117 378 297
118 881 802
119 959 912
120 225 450
121 213 802
122 842 994
123 662 474
124 20 116
125 562 217
126 709 544
127 50 682
128 771 244
129 538 704
130 506 883
131 341 389
132 414 522
133 583 435
134 210 579
135 326 715
136 92 24
137 969 100
138 252 841
139 879 544
140 648 720
141 291 405
142 14 19
143 446 28
144 130 966
145 978 572
146 333 105
147 558 84
148 288 10
149 783 837
150 1000 230
151 319 895
152 76 494
153 289 952
154 254 165
155 915 405
156 151 945
157 407 685
158 294 824
159 106 831
160 373 284
161 875 321
162 768 758
163 735 150
164 304 323
165 760 158
166 277 663
167 217 608
168 712 264
169 958 12
170 879 873
171 52 214
172 63 197
173 690 714
174 579 862
175 313 245
176 32 608
177 9 608
178 840 747
179 152 742
180 994 868
181 294 57
182 76 784
183 302 11
184 527 742
185 753 939
186 156 870
187 571 127
188 913 884
189 922 146
190 900 41
191 346 427
192 637 341
193 162 87
194 581 979
195 93 14
196 888 48
197 168 188
198 427 499
199 856 260
200 54 332
201 459 387
202 118 61
203 754 299
204 233 411
205 883 640
206 288 268
207 489 533
208 720 892
209 115 418
210 22 358
211 839 126
212 516 272
213 162 208
214 361 714
215 157 512
216 826 443
217 855 12
218 798 356
219 882 889
220 554 183
221 354 851
222 776 448
223 21 719
224 812 664
225 650 254
226 196 793
227 668 231
228 412 946
229 57 773
230 911 335
231 490 922
232 371 480
233 723 473
234 223 658
235 234 50
236 408 609
237 118 434
238 393 488
239 225 141
240 444 66
241 547 252
242 132 189
243 865 488
244 106 475
245 636 540
246 104 269
247 135 647
248 222 849
249 844 424
250 428 875
251 94 941
252 325 93
253 957 47
254 172 293
255 381 958
256 148 504
257 588 69
258 863 453
259 709 51
260 129 266
261 679 164
262 977 422
263 372 843
264 912 957
265 1000 521
266 442 912
267 743 716
268 838 43
269 649 346
270 144 771
271 771 321
272 454 383
273 553 361
274 419 490
275 482 77
276 13 726
