NAME : Leuven1
COMMENT : 
TYPE : CVRP
DIMENSION : 3001
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 25
NODE_COORD_SECTION
1 700 1000
2 626 1111
3 872 1281
4 737 1277
5 725 1175
6 577 1094
7 651 1158
8 1197 954
9 741 1208
10 895 1323
11 854 1152
12 420 1121
13 825 1142
14 850 1027
15 567 1497
16 452 1116
17 457 1023
18 482 1013
19 644 1122
20 977 1318
21 657 942
22 660 1355
23 599 1046
24 735 1126
25 336 1182
26 927 1188
27 790 1394
28 701 1378
29 403 1313
30 708 1159
31 1033 1588
32 1003 1451
33 113 1584
34 1304 1286
35 381 1242
36 738 1488
37 1045 856
38 329 1171
39 601 1348
40 1031 912
41 869 626
42 312 1624
43 464 1159
44 921 1267
45 956 1202
46 495 1137
47 595 1058
48 335 1645
49 791 765
50 695 1372
51 812 1535
52 865 1844
53 826 384
54 546 998
55 603 1341
56 256 1401
57 602 1115
58 866 1446
59 567 1357
60 804 1065
61 776 1253
62 956 104
63 343 1330
64 468 1351
65 541 969
66 1043 736
67 648 1236
68 627 1319
69 638 1203
70 581 1246
71 686 1303
72 1028 1240
73 297 1139
74 928 851
75 717 1258
76 672 1092
77 387 1334
78 655 1118
79 697 1245
80 1082 1141
81 436 1031
82 700 1193
83 993 1257
84 592 448
85 665 1129
86 536 1603
87 368 1440
88 961 759
89 762 1035
90 548 1152
91 863 1119
92 953 932
93 591 966
94 1026 1682
95 569 1484
96 983 1137
97 93 1546
98 784 333
99 727 1307
100 1015 1798
101 560 1145
102 861 1769
103 984 819
104 578 1404
105 896 712
106 367 1201
107 580 1511
108 996 165
109 858 1051
110 906 973
111 724 1202
112 1258 1038
113 758 1598
114 480 1354
115 562 1426
116 725 1193
117 993 930
118 744 1182
119 366 1490
120 657 859
121 770 1784
122 569 1021
123 760 1350
124 682 1293
125 588 1601
126 600 972
127 844 955
128 867 1146
129 331 1285
130 621 1086
131 1166 1112
132 620 1247
133 709 1386
134 278 1444
135 1113 1220
136 1176 1077
137 863 1293
138 393 1333
139 881 1022
140 496 1171
141 1076 765
142 976 1385
143 439 1126
144 704 1198
145 868 1351
146 954 1721
147 212 1247
148 527 1186
149 872 764
150 685 1151
151 715 1017
152 482 1512
153 729 1142
154 515 1281
155 613 213
156 690 1131
157 610 1257
158 874 1079
159 949 1755
160 522 1094
161 666 1113
162 635 1440
163 721 1227
164 669 1183
165 450 1298
166 805 1221
167 1010 159
168 607 938
169 679 1118
170 1024 1367
171 602 335
172 1005 1215
173 707 1284
174 820 1206
175 567 367
176 682 1420
177 497 1288
178 542 1345
179 627 990
180 1040 1778
181 272 1428
182 329 1123
183 1115 1424
184 697 1088
185 390 1424
186 857 1072
187 1130 1458
188 671 1199
189 653 1275
190 787 1333
191 961 1199
192 616 1181
193 532 1220
194 475 1481
195 692 1143
196 775 1315
197 582 1529
198 634 1103
199 716 1317
200 1138 1472
201 580 1204
202 676 1189
203 518 1135
204 305 1123
205 94 1511
206 898 1068
207 555 1228
208 373 1329
209 619 1112
210 420 1168
211 870 1790
212 604 1262
213 765 1342
214 659 1214
215 634 1195
216 1112 612
217 493 1176
