NAME : Ghent1
COMMENT : 
TYPE : CVRP
DIMENSION : 10001
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 35
NODE_COORD_SECTION
1 1000 1000
2 907 1191
3 1273 668
4 1225 957
5 1775 397
6 1096 1457
7 1074 1602
8 1025 550
9 1135 1490
10 1014 1230
11 1134 1015
12 1277 806
13 1234 741
14 1008 1396
15 727 758
16 1286 1288
17 1205 1077
18 1472 630
19 1366 1211
20 1517 847
21 1264 946
22 1015 1122
23 1246 1328
24 954 1065
25 1355 1243
26 1235 964
27 1487 1061
28 1295 1400
29 1222 1051
30 1234 1659
31 965 924
32 1019 875
33 788 531
34 1052 698
35 1339 1131
36 1684 857
37 1262 922
38 1544 1161
39 1155 1369
40 800 1582
41 1045 1501
42 1565 678
43 1068 1250
44 1037 677
45 1475 1445
46 1408 1219
47 1317 1300
48 907 923
49 1358 1249
50 1643 844
51 1132 321
52 1673 111
53 1049 1955
54 1612 1381
55 898 896
56 1144 945
57 1218 1134
58 1627 166
59 1133 1263
60 886 1539
61 1059 877
62 1025 906
63 941 832
64 1028 1358
65 1285 942
66 1217 1211
67 1071 1478
68 1379 1148
69 677 705
70 899 1541
71 950 762
72 1039 1319
73 1505 872
74 1166 1330
75 1227 1143
76 1225 1218
77 1311 1294
78 177 1219
79 1084 1416
80 1288 1340
81 1265 944
82 1119 1470
83 1168 1227
84 1048 647
85 1370 1290
86 1038 686
87 1477 1234
88 1017 618
89 763 737
90 1156 1014
91 1079 1531
92 739 897
93 546 1668
94 1360 1053
95 1280 1119
96 1120 1793
97 1216 1046
98 1277 944
99 722 1653
100 982 1159
101 1432 1115
102 1516 769
103 933 517
104 1291 1030
105 677 1470
106 1003 628
107 911 1586
108 921 748
109 1256 1221
110 1380 1126
111 855 1518
112 1493 1329
113 1089 1721
114 1001 1537
115 1426 927
116 1141 1428
117 745 702
118 1179 1482
119 1266 888
120 1658 151
121 1161 559
122 1444 1179
123 1338 1122
124 1275 1651
125 1213 1152
126 1450 1211
127 1429 1319
128 1008 1280
129 1567 954
130 985 964
131 1069 1233
132 1245 1228
133 1275 1312
134 1136 1082
135 1419 1216
136 1102 706
137 1067 1267
138 1658 995
139 1272 1229
140 1415 926
141 1179 1070
142 698 1059
143 919 790
144 1407 1126
145 1167 1167
146 1213 677
147 1138 1700
148 1080 784
149 1174 1081
150 558 824
151 1336 1398
152 1596 1183
153 1382 1359
154 1162 1358
155 1225 1103
156 973 861
157 1098 1317
158 966 932
159 1246 1287
160 1471 918
161 1146 1150
162 1163 1293
163 1120 1025
164 1200 1404
165 1286 841
166 1487 1184
167 863 782
168 1408 958
169 1032 1532
170 917 1529
171 1014 1277
172 1500 1141
173 1010 1300
174 1520 928
175 1232 1283
176 1229 1314
177 1403 1090
178 1605 724
179 1210 1207
180 1028 705
181 1243 1153
182 1235 888
183 1050 1298
184 1202 1024
185 789 1842
186 1232 1278
187 1159 1045
188 1267 1174
189 1346 1115
190 1543 910
191 1108 1096
192 1357 1301
193 1183 1395
194 610 1204
195 1510 1168
196 961 843
197 1579 1134
198 1186 1043
199 559 1584
200 940 1320
201 1870 834
202 1563 1510
