NAME : X-n233-k16
COMMENT : "Generated by Uchoa, Pecin, Pessoa, Poggi, Subramanian, and Vidal (2013)"
TYPE : CVRP
DIMENSION : 233
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 631
NODE_COORD_SECTION
1 500 500
2 816 981
3 349 338
4 22 205
5 385 344
6 913 54
7 524 123
8 239 335
9 150 84
10 84 860
11 645 647
12 507 516
13 153 940
14 429 602
15 596 759
16 776 399
17 942 767
18 871 2
19 714 950
20 72 400
21 765 315
22 666 798
23 287 851
24 3 201
25 78 724
26 896 240
27 59 735
28 253 251
29 37 22
30 973 599
31 726 13
32 82 262
33 2 631
34 133 656
35 435 741
36 834 714
37 37 861
38 946 211
39 290 110
40 423 350
41 406 414
42 804 581
43 846 956
44 849 683
45 79 883
46 433 93
47 610 253
48 686 486
49 229 248
50 382 597
51 544 618
52 585 303
53 732 387
54 533 952
55 563 807
56 780 940
57 665 561
58 591 536
59 35 216
60 577 969
61 811 927
62 592 744
63 280 384
64 866 228
65 153 27
66 401 481
67 72 488
68 610 324
69 381 300
70 209 675
71 139 848
72 354 124
73 386 572
74 36 764
75 660 422
76 719 264
77 761 560
78 231 203
79 769 312
80 905 645
81 304 372
82 970 966
83 51 257
84 189 934
85 516 6
86 756 36
87 47 139
88 428 61
89 100 853
90 923 919
91 751 480
92 555 726
93 463 190
94 130 131
95 105 943
96 83 892
97 215 690
98 869 706
99 512 831
100 603 287
101 668 913
102 954 694
103 321 587
104 282 907
105 339 810
106 30 659
107 339 296
108 367 511
109 448 223
110 72 181
111 323 183
112 684 125
113 415 387
114 882 359
115 485 115
116 133 541
117 368 424
118 585 302
119 991 97
120 198 817
121 634 849
122 142 639
123 455 777
124 436 774
125 245 581
126 112 691
127 665 246
128 37 450
129 436 843
130 899 115
131 983 90
132 461 866
133 429 752
134 696 466
135 629 807
136 506 293
137 11 521
138 50 515
139 109 570
140 677 876
141 171 930
142 919 111
143 425 775
144 470 783
145 129 852
146 504 181
147 439 799
148 919 181
149 469 826
150 390 729
151 83 649
152 469 662
153 161 759
154 656 281
155 90 681
156 563 555
157 399 828
158 155 612
159 213 837
160 280 680
161 473 689
162 153 586
163 273 698
164 191 650
165 645 830
166 484 821
167 384 375
168 65 890
169 137 561
170 432 780
171 561 523
172 390 934
173 481 236
174 725 818
175 272 710
176 998 76
177 544 282
178 866 252
179 358 678
180 439 687
181 470 303
182 636 804
183 461 690
184 912 114
185 406 829
186 372 683
187 446 812
188 378 754
189 412 780
190 637 870
191 953 185
192 541 254
193 498 856
194 535 304
195 652 948
196 318 654
197 117 832
198 648 144
199 410 863
200 371 627
201 634 872
202 308 649
203 235 979
204 271 865
205 115 761
206 553 750
207 723 813
208 405 889
209 570 761
210 114 660
211 159 883
212 460 699
213 185 559
214 472 799
215 320 641
216 508 754
217 294 874
218 265 793
219 999 125
220 999 75
221 662 727
222 464 770
223 724 174
224 603 260
225 530 286
226 383 845
227 814 812
228 96 554
229 605 284
230 134 625
231 568 454
232 220 931
233 162 792
PICKUP_AND_DELIVERY_SECTION
1 0 0 0 0 0 0
2 0 0 0 0 44.0856 8.91437
3 0 0 0 0 61.9828 2.01719
4 0 0 0 0 5.79512 48.2049
5 0 0 0 0 56.2909 6.70909
6 0 0 0 0 2.66156 42.3384
7 0 0 0 0 1.4084 4.5916
8 0 0 0 0 71.3433 28.6567
9 0 0 0 0 35.28 27.72
10 0 0 0 0 0.488372 4.51163
11 0 0 0 0 73.7713 0.228748
12 0 0 0 0 85.4826 1.51744
